#### DEBUGLOGFILE is /tmp/tmp.dGNKINnsKO
#### SWEEPTMPFILE is /tmp/tmp.UstmbNgBsC
#### WINDOW_SIZE is 2016, ACK_DELAY is 2419us, PACKET_SIZE is 5 (Mo 20. Jan 13:34:52 CET 2014)
interrupt rate = 152027.83 +/- 7931.54intr/s
interrupt2 rate = 68196.94 +/- 2878.43intr/s
packet rate = 344774.65 +/- 39682.59pckts/s
sent avg = 13.152109 +/- 1.513771MB/s
#### WINDOW_SIZE is 2016, ACK_DELAY is 4596us, PACKET_SIZE is 5 (Mo 20. Jan 13:35:16 CET 2014)
interrupt rate = 144791.46 +/- 2174.42intr/s
interrupt2 rate = 71548.37 +/- 612.43intr/s
packet rate = 284666.72 +/- 18103.90pckts/s
sent avg = 10.859173 +/- 0.690609MB/s
#### WINDOW_SIZE is 2016, ACK_DELAY is 6773us, PACKET_SIZE is 5 (Mo 20. Jan 13:35:40 CET 2014)
interrupt rate = 137411.37 +/- 12327.80intr/s
interrupt2 rate = 70730.51 +/- 1843.17intr/s
packet rate = 285345.13 +/- 8473.33pckts/s
sent avg = 10.885053 +/- 0.323232MB/s
#### WINDOW_SIZE is 2016, ACK_DELAY is 8950us, PACKET_SIZE is 5 (Mo 20. Jan 13:36:06 CET 2014)
interrupt rate = 106610.77 +/- 4478.34intr/s
interrupt2 rate = 67627.82 +/- 1059.92intr/s
packet rate = 223344.23 +/- 11545.23pckts/s
sent avg = 8.519906 +/- 0.440416MB/s
#### WINDOW_SIZE is 2016, ACK_DELAY is 11127us, PACKET_SIZE is 5 (Mo 20. Jan 13:36:33 CET 2014)
interrupt rate = 84148.62 +/- 6301.08intr/s
interrupt2 rate = 67369.74 +/- 2098.19intr/s
packet rate = 179791.71 +/- 889.42pckts/s
sent avg = 6.858510 +/- 0.033929MB/s
#### WINDOW_SIZE is 2016, ACK_DELAY is 13304us, PACKET_SIZE is 5 (Mo 20. Jan 13:36:59 CET 2014)
interrupt rate = 66366.04 +/- 4878.41intr/s
interrupt2 rate = 69104.08 +/- 1348.50intr/s
